"score","name","website","rating","web tech","scraped email","first name","last name","full name","map link","address","phone","scraped phone numbers","created at","latitude","longitude","google rank","number of reviews","search keywords","contact page link","social media links"
"2","Best Broilers & Eggs","https://suneats.in/","4.2","unknown","mail@suneats.in","Mai","","Mai","","No 21 , Railway Station Road , Opp To Subjail, Hosur, Tamil Nadu 635109","090470 45378","9500009614","2021-11-24T02:28:08.730224","12.7265575","77.8264999","1","9","Egg farms Hosur, India","","https://www.facebook.com/Suneats, https://twitter.com/Suneats1?lang=en"
"2","The Prodigal Farms","http://www.theprodigalfarms.com/","4.2","wix","info@theprodigalfarms.com","info","","info","","Bandh Rd, Near Jaypee Hospital, Sector 131, Noida, Uttar Pradesh 201304","088515 72439","8851 572 439","2021-11-24T02:28:01.530354","28.504376800000003","77.3563454","15","102","Chicken hatchery Noida, India","","http://www.twitter.com/theprodigalfarm, http://instagram.com/theprodigalfarms, http://www.facebook.com/theprodigalfarms"
"2","The Prodigal Farms","http://www.theprodigalfarms.com/","4.2","wix","info@theprodigalfarms.com","info","","info","","Bandh Rd, Near Jaypee Hospital, Sector 131, Noida, Uttar Pradesh 201304","088515 72439","8851 572 439","2021-11-24T02:28:00.470794","28.504376800000003","77.3563454","14","102","Egg farms Noida, India","","http://www.facebook.com/theprodigalfarms, http://instagram.com/theprodigalfarms, http://www.twitter.com/theprodigalfarm"
"2","The Prodigal Farms","http://www.theprodigalfarms.com/","4.2","wix","info@theprodigalfarms.com","info","","info","","Bandh Rd, Near Jaypee Hospital, Sector 131, Noida, Uttar Pradesh 201304","088515 72439","8851 572 439","2021-11-24T02:28:12.872383","28.504376800000003","77.3563454","19","102","Egg farms Faridabad, India","","http://instagram.com/theprodigalfarms, http://www.facebook.com/theprodigalfarms, http://www.twitter.com/theprodigalfarm"
"2","Vani Farms","http://vanifarms.com/","","woocommerce","vanifarmsindia@gmail.com","Van","","Van","","","","9444251836, 9042233711, 9865098750, 9842233711","2021-11-24T02:28:08.044113","10.9340174","79.55753419999999","8","","Egg farms Kumbakonam, India","https://www.vanifarms.com/contact-us/","https://www.facebook.com/boergoatsindia, https://plus.google.com/+BoergoatsindiaTN, https://plus.google.com/+BoergoatsindiaTN/posts"
"2","National Poultry Farm (Eggs India)","http://eggsindia.com/","5","wix","hello@eggsindia.com","hello","","hello","","Ramsar, Rajasthan 305402","079762 56298","+91 797-625-6298, 797-625-6298","2021-11-24T02:28:02.796040","26.266905599999998","74.8689924","6","12","Egg farms Pali, India","https://www.eggsindia.com/contact",""
"2","Priyanka Enterprises","http://priyankaenterprises.in/","4.1","woocommerce","sales@priyankaenterprises.in","Sales","","Sales","","D.No. 16, , 6-129, Srinivasa Agraharam, Ramamurthy Nagar, Nellore, Andhra Pradesh 524001","0861 234 8101","+91 861 2348100, +91 861 3500757","2021-11-24T02:28:04.157640","14.450887499999999","79.98798","15","56","Egg farms Nellore, India","https://www.priyankaenterprises.in/contact-us/",""
"2","The Way We Were","http://waywewere.net/","5","woocommerce","care@waywewere.net","care","","care","","","098730 01696","2019121710, 9873001696, +91 120 4570580, 91-98730016, 2019121204, 2019121311, 91-99901430, 2019120900","2021-11-24T02:28:00.471109","28.498609199999997","77.3999054","18","1","Egg farms Noida, India","https://waywewere.net/contact-us/","https://www.instagram.com/thewaywewerea2milk/, https://www.youtube.com/channel/UCzZaavrMrVZkOPEsTxMAzbw, https://www.facebook.com/TheWayWeWereA2Milk/"
"2","The Way We Were","http://waywewere.net/","5","woocommerce","info@thewaywewere.in","info","","info","","","098730 01696","2019121710, 9873001696, +91 120 4570580, 91-98730016, 2019121204, 2019121311, 91-99901430, 2019120900","2021-11-24T02:28:00.471109","28.498609199999997","77.3999054","18","1","Egg farms Noida, India","https://waywewere.net/contact-us/","https://www.instagram.com/thewaywewerea2milk/, https://www.youtube.com/channel/UCzZaavrMrVZkOPEsTxMAzbw, https://www.facebook.com/TheWayWeWereA2Milk/"
"2","Friends Meat Shop [en]","http://www.agarwalpackerss.in/","2.9","unknown","info@agarwalpackerss.in","info","","info","","Jagat Farm, Amritpuram, Knowledge Park I, Greater Noida, Uttar Pradesh 201308, India, Uttar Pradesh 201308","096503 70238","9460015001","2021-11-24T02:28:01.529798","28.481027","77.499951","9","35","Chicken hatchery Noida, India","http://www.agarwalpackerss.in/contact-us.html",""
